date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-07-27,General Bank of Canada,Financial Services,Customer Service Representative I,temporary full-time,company careers,packet_emailed_lillian,,high,"Lane A; portal packet emailed to Lillian; apply https://www.generalbank.ca/careers/",candidates/lillian/cv/main_general_bank.pdf,candidates/lillian/cover_letters/cover_general_bank_csr_i.pdf,https://www.generalbank.ca/careers/
2026-07-27,Dynacare (CannAmm),Healthcare Services,Call Attendant (Remote),contract 16-month,company careers,packet_emailed_lillian,,high,"Lane A; portal packet emailed to Lillian; Jobvite apply",candidates/lillian/cv/main_dynacare.pdf,candidates/lillian/cover_letters/cover_dynacare_call_attendant.pdf,https://jobs.jobvite.com/dynacare/job/oI9oAfwz
2026-07-27,ATCO Gas,Utilities,Customer Care Representative (Temporary),temporary 6-month,company careers,packet_emailed_lillian,,high,"Lane A; portal packet emailed to Lillian; careers.atco.com",candidates/lillian/cv/main_atco.pdf,candidates/lillian/cover_letters/cover_atco_customer_care_representative.pdf,https://careers.atco.com/
2026-07-27,Alberta Blue Cross,Insurance Benefits,Claims Coordinator – Claim Services,temporary 12-month,company careers,packet_emailed_lillian,,high,"Lane B; portal packet emailed to Lillian; closes 2026-08-07",candidates/lillian/cv/main_alberta_blue_cross.pdf,candidates/lillian/cover_letters/cover_alberta_blue_cross_claims_coordinator.pdf,https://careers.ab.bluecross.ca
2026-07-27,Peace Hills Insurance,P&C Insurance,Claims Advisor - Property,full-time,email,submitted,sclawson@phgic.com,medium,"Lane B stretch; emailed employer; Reply-To + BCC Lillian; deadline 2026-08-28",candidates/lillian/cv/main_peace_hills.pdf,candidates/lillian/cover_letters/cover_peace_hills_claims_advisor_property.pdf,https://www.peacehillsinsurance.com/careers/claims-advisor-property/
2026-07-27,Trans Global Insurance (The Brick),Creditor Insurance,Creditor Insurance Claims Representative,full-time,email,submitted,careers@thebrick.com,medium,"Lane B stretch; emailed careers@thebrick.com; Reply-To + BCC Lillian; deadline 2026-08-20",candidates/lillian/cv/main_trans_global.pdf,candidates/lillian/cover_letters/cover_trans_global_creditor_claims_representative.pdf,https://jobcanadian.com/creditor-insurance-claims-representative-job139481
2026-07-27,ATB Financial,Banking,Client Service Representative - Windermere,full-time,company careers,skipped_sales_heavy,,low,"Lane A skip: branch role with sales/lending flavour",,,https://jobera.com/job/atb-client-service-representative-edmonton-windermere-aef7cfc9/
2026-07-27,Servus Credit Union,Credit Union,Member Experience Advisor,full-time/casual,company careers,skipped_sales_heavy,,low,"Lane A skip: sales referrals and branch growth objectives",,,https://resuminder.com/jobs/57624517-member-experience-advisor-edmonton-suburbs-district-support-at-fir
2026-07-27,Jobber,SaaS / Home Services Software,Product Support Specialist - Future Opportunities,full-time hybrid,company careers,packet_emailed_lillian,,high,"Lane A; evergreen talent pool; Edmonton hub; Ashby apply; $50k-$67.6k",candidates/lillian/cv/main_jobber.pdf,candidates/lillian/cover_letters/cover_jobber_product_support_specialist.pdf,https://jobs.ashbyhq.com/jobber/17b641db-0e40-418e-a53d-ffce4fee2a31
2026-07-27,Royal Glenora Club,Recreation / Private Club,Front Desk Member Services Representative,part-time,company careers,packet_emailed_lillian,,high,"Lane A; $16.50/hr; 24+ hrs/wk incl evenings to midnight weekends holidays; light pro shop",candidates/lillian/cv/main_royal_glenora.pdf,candidates/lillian/cover_letters/cover_royal_glenora_front_desk_member_services.pdf,https://royalglenoraclub.easyapply.co/job/front-desk-member-services-representative-part-time
